fips,name,gcd_funding,pgma,moratorium_june,moratorium,land_score,infra_score,risk_june,risk_sept,rank_june,rank_sept,rank_delta,is_lit,is_peer
48131,Duval,0,0,0,0,0.981692773400084,0.140829968964727,0.647260841712957,0.647260841712957,103,102,1,FALSE,FALSE
48387,Red River,0,0,0,0,0.907284641695042,0.224467557705246,0.645917687403656,0.645917687403656,104,103,1,FALSE,FALSE
48305,Lynn,0,0,0,0,0.616837824660571,0.54941539119338,0.640028797345538,0.640028797345538,105,104,1,FALSE,FALSE
48403,Sabine,0,0,0,0,0.993206109178091,0.110188327647219,0.639973438468835,0.639973438468835,106,105,1,FALSE,FALSE
48229,Hudspeth,0,0,0,0,0.988626491194924,0.113405826643677,0.639073433266548,0.639073433266548,107,106,1,FALSE,FALSE
48213,Henderson,0,0,0,0,0.618971404767679,0.544265549624572,0.638902127105549,0.638902127105549,108,107,1,FALSE,FALSE
48499,Wood,0,0,0,0,0.823104321452713,0.302302576174532,0.637289653361209,0.637289653361209,109,108,1,FALSE,FALSE
48315,Marion,0,0,0,0,0.966971856868413,0.125452842996906,0.633476753299833,0.633476753299833,110,109,1,FALSE,FALSE
48009,Archer,0,0,0,0,0.780061539319607,0.33850256039484,0.631354264388252,0.631354264388252,111,110,1,FALSE,FALSE
48475,Ward,0,0,0,0,0.21246484972528,1,0.631058397529237,0.631058397529237,112,111,1,TRUE,FALSE
48231,Hunt,0,0,0,0,0.528104887886564,0.63165373152667,0.631016239557541,0.631016239557541,113,112,1,FALSE,FALSE
48207,Haskell,1,0,0,0,0.712308785700475,1,0.630981297195985,0.630981297195985,114,113,1,TRUE,FALSE
48225,Houston,0,0,0,0,0.686238462266972,0.44448367972158,0.629881008374659,0.629881008374659,115,114,1,FALSE,FALSE
48055,Caldwell,0,0,0,0,0.500323659859172,0.660354045472834,0.629444749946629,0.629444749946629,116,115,1,FALSE,FALSE
48391,Refugio,0,0,0,0,0.925015723442417,0.161976087587806,0.62821508757864,0.62821508757864,117,116,1,FALSE,FALSE
48097,Cooke,0,0,0,0,0.52372162291363,0.613197203703526,0.621035276369282,0.621035276369282,118,117,1,FALSE,FALSE
48247,Jim Hogg,0,0,0,0,0.988969962708637,0.0690748368341437,0.620470965305455,0.620470965305455,119,118,1,FALSE,FALSE
48261,Kenedy,0,0,0,0,1,0.0539767548072359,0.61952678680553,0.61952678680553,120,119,1,FALSE,FALSE
48281,Lampasas,0,0,0,0,0.631624515626014,0.473799195757698,0.615313856858714,0.615313856858714,121,120,1,FALSE,FALSE
48259,Kendall,0,0,0,0,0.554832145424312,0.560814254881864,0.614223021589262,0.614223021589262,122,121,1,FALSE,FALSE
48295,Lipscomb,0,0,0,0,0.905689887716544,0.143393848263385,0.610798810861742,0.610798810861742,123,122,1,FALSE,FALSE
48177,Gonzales,0,0,0,0,0.61539438277537,0.479100175640398,0.609540405248179,0.609540405248179,124,123,1,FALSE,FALSE
48073,Cherokee,0,0,0,0,0.684423306958814,0.390153724578833,0.60597800769511,0.60597800769511,125,124,1,FALSE,FALSE
48501,Yoakum,0,0,0,0,0.796682463836721,0.256771025412315,0.604955923059364,0.604955923059364,126,125,1,FALSE,FALSE
48145,Falls,0,0,0,0,0.505852614116448,0.595697109119297,0.604796955040555,0.604796955040555,127,126,1,FALSE,FALSE
48441,Taylor,0,0,0,0,0.151006085578425,1,0.600695915189475,0.600695915189475,128,127,1,TRUE,FALSE
48079,Cochran,0,0,0,0,0.709173004337793,0.346277511972114,0.599625528520557,0.599625528520557,129,128,1,FALSE,FALSE
48091,Comal,0,0,0,0,0.461183496901907,0.630949227921303,0.597656729713016,0.597656729713016,130,129,1,FALSE,FALSE
48477,Washington,0,0,0,0,0.476098038337007,0.602488767833986,0.592973255418937,0.592973255418937,131,130,1,FALSE,FALSE
48065,Carson,0,0,0,0,0.709155414540268,0.317565390454592,0.587458564082448,0.587458564082448,132,131,1,FALSE,FALSE
48135,Ector,0,0,0,0,0.0907528144113016,1,0.570928982724754,0.570928982724754,133,132,1,TRUE,FALSE
48459,Upshur,0,0,0,0,0.770697561997821,0.201127604136662,0.568556145897499,0.568556145897499,134,133,1,FALSE,FALSE
