fips,rural_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,severe_housing_cost_burden_raw_value
01085,1,0,0.1829896907,0.175856531
01087,0.5390640999,0,0.1254379818,0.1628268991
01089,0.1710227668,0,0.1099133105,0.1062513416
01091,0.6777415515,1,0.0917241379,0.0954532618
01093,1,1,0.1006289308,0.0713671539
01095,0.5365119043,0,0.1025677201,0.0898107715
01097,0.2239633181,1,0.1520453036,0.1404791332
01099,0.7833299616,1,0.1090661213,0.1060840025
01101,0.1236405566,0,0.1743422898,0.1742167873
01103,0.3843754304,0,0.1091445428,0.0998161057
01105,1,0,0.1036906854,0.0646302251
01107,1,0,0.0986418871,0.1101838974
01109,0.5617558848,0,0.1572545613,0.16718107
01111,1,0,0.1138872748,0.1039222657
01113,0.4035111434,0,0.1778305964,0.1693269777
01115,0.6711085255,0,0.0942203492,0.070499803
01117,0.2396737571,0,0.1003597342,0.1002763427
01119,1,0,0.1153846154,0.1447714764
01121,0.5867995959,0,0.1458464443,0.1265449485
01123,0.7840768802,0,0.1193528694,0.0857768899
01125,0.3109022358,1,0.1532583445,0.1474511587
01127,0.7968534786,1,0.1174680463,0.1061256005
01129,1,0,0.0817490494,0.0886150235
01131,1,1,0.1531034483,0.1786245907
01133,1,0,0.0970715835,0.0812989137
02013,1,1,0.1584699454,0.1133757962
02016,1,1,0.144278607,0.0916030534
02020,0.0426922852,1,0.1655185341,0.1320469307
02050,0.7269366763,1,0.5586283186,0.1027639972
02060,1,0,0.1111111111,0.0442477876
02063,1,,0.0926640927,0.0590750097
02066,1,,0.2116402116,0.0539744848
02068,1,0,0.2735849057,0.0878243513
02070,1,1,0.4197080292,0.0822239624
02090,0.2536093252,1,0.1932011331,0.1266537959
02100,1,0,0.3419354839,0.1196388262
02105,1,,0.1666666667,0.0734265734
02110,0.2324910867,0,0.1377708978,0.1284119107
02122,0.7740097621,1,0.1809398331,0.1204451233
02130,0.1414539719,1,0.1759343665,0.150481031
02150,0.2725746126,1,0.2378255946,0.1386210222
02158,1,1,0.6115702479,0.1181538462
02164,1,1,0.28125,0.0588235294
02170,0.500901187,1,0.1990540008,0.1218800816
02180,1,1,0.5193370166,0.0944223108
02185,1,0,0.4156769596,0.0666666667
02188,1,1,0.5014245014,0.0827205882
02195,1,,0.1570247934,0.106943336
02198,1,,0.2012987013,0.0972590628
02220,0.0934026957,0,0.1468023256,0.1096014493
02230,1,1,0.0897435897,0.0608899297
02240,1,0,0.2329411765,0.0914258645
02275,1,1,0.0892857143,0.0658823529
02282,1,0,0.1627906977,0.0489130435
02290,1,1,0.5078947368,0.0813661477
04001,1,0,0.2787348933,0.064972858
04003,0.3676771864,1,0.1194151097,0.1143825286
04005,0.3240432526,1,0.2426765945,0.162604944
04007,0.4435726085,1,0.1761936785,0.1394292837
04009,0.5242778917,0,0.16587473,0.1039843684
04011,1,1,0.067381317,0.0447585395
04012,0.4341970164,1,0.1912442396,0.0962989156
04013,0.0230465859,1,0.1707594277,0.1415317484
04015,0.2393244149,1,0.1494955999,0.1376610527
04017,0.6425311806,1,0.2293176535,0.0875158743
04019,0.0884196685,1,0.1701857552,0.147150269
04021,0.2303204598,1,0.1376112123,0.1052132327
04023,0.5978938094,0,0.1695069994,0.1156483791
04025,0.3198057652,1,0.16765286,0.148125664
04027,0.1510047528,1,0.2080726123,0.123307537
05001,0.5258032538,0,0.1061410159,0.0941484145
05003,0.623124541,0,0.1256906077,0.1277165823
05005,0.5728013068,1,0.1088399257,0.0996632631
05007,0.2400424854,1,0.1050341213,0.072973205
05009,0.6267358788,0,0.1036866359,0.0823990646
05011,0.4994784258,0,0.1066126856,0.1007990166
05013,1,0,0.0574324324,0.0402684564
05015,0.821054494,1,0.1472694718,0.1151160596
05017,1,1,0.1457036115,0.1279103191
05019,0.5297025086,0,0.1427684668,0.1325874486
05021,1,0,0.0983739837,0.0942264862
05023,0.7271255716,0,0.0975152368,0.0777091976
05025,1,0,0.0546448087,0.0600693107
05027,0.5437480812,1,0.1383526384,0.1255955532
05029,0.6939415882,0,0.098108747,0.0938113306
05031,0.336686715,0,0.1329272662,0.133341422
05033,0.4940881047,1,0.1184615385,0.0852376906
05035,0.1837510122,1,0.1592133621,0.1514261508
05037,0.5506445672,0,0.1486697966,0.0983606557
05039,1,0,0.0989247312,0.0909874946
05041,0.6219394471,1,0.1366525424,0.1619930475
05043,0.5404034582,0,0.112625538,0.129982669
05045,0.460566163,1,0.1573904618,0.1330704677
05047,1,0,0.1316964286,0.0875270145
05049,1,1,0.1510248112,0.1019743979
