fips,cropland_acres,land_area_acres,cropland_share_of_land
15003,22756,384502.810736103,0.0591829223730128
15007,20514,396697.392840263,0.0517119607293722
15009,61707,743385.475121055,0.0830080786686766
16001,42862,673290.053179822,0.0636605275803064
16003,15981,872195.244632314,0.0183227323220926
16005,180641,711992.85094575,0.253711817134192
16007,80192,624465.730050197,0.128416974929199
16009,76672,497236.05192852,0.154196381583011
16011,363334,1339988.71932601,0.271147058747442
16013,65168,1688152.2147091,0.0386031540474741
16015,5603,1215715.5881456,0.00460880822343207
16017,29739,1109264.19026525,0.026809663794239
16019,245149,1194214.58149909,0.205280528137804
16021,47442,811954.420374326,0.0584293881645824
16023,62624,1431351.49692654,0.0437516571816698
16025,91268,687509.906785866,0.132751541612951
16027,228177,375711.738056623,0.607319327259379
16029,202628,1129083.98234001,0.179462292592317
16031,366476,1641990.0228377,0.223190150307158
16033,74836,1128412.77122912,0.0663197031335307
16035,23877,1572680.66560002,0.0151823574373824
16037,35609,3150192.99111632,0.011303751897239
16039,101245,1968050.39088082,0.0514443128433754
16041,114176,424332.113007144,0.269072258497857
16043,203276,1192934.11897477,0.170400021901209
16045,27426,358252.448798092,0.0765549547309781
16047,140588,466766.053762944,0.301195853611498
16049,171167,5425599.11415598,0.0315480367049985
16051,182195,699955.512621052,0.260295114067683
16053,150930,382427.634572788,0.394662901828747
16055,55698,792179.443084361,0.0703098275097105
16057,228085,688554.951519501,0.331251702564426
16059,37311,2920764.49246599,0.0127743952298251
16061,167431,306445.751766992,0.546364239133937
16063,60741,768872.7188083,0.0790000718118135
16065,142882,300330.95935275,0.475748488627107
16067,278599,484477.522464367,0.575050414274876
16069,207955,542925.074802425,0.383027068837586
16071,171013,767328.740387518,0.222867971703542
16073,129722,4907650.02521988,0.026432610176637
16075,64778,260411.817225444,0.248752152226334
16077,343636,898448.577518321,0.382477092845075
16079,559,1687951.79519484,0.000331170594795022
16081,80005,287418.145443179,0.278357512455026
16083,249600,1229896.88070983,0.202943843435023
16085,6428,2345675.82395822,0.00274036161960055
16087,69792,929825.516185356,0.0750592436808191
17001,328198,547296.732237225,0.599671038886713
17003,45761,150652.185847954,0.30375264548889
17005,133047,243415.269364433,0.546584445369393
17007,117544,179673.93520577,0.654207299825563
17009,88340,195665.114314437,0.45148569436878
17011,419356,556205.690245293,0.75395848578079
17013,56373,162450.829517505,0.347015771895
17015,226630,285060.125047609,0.795025259889118
17017,131686,240482.51274083,0.547590752022451
17019,526778,637506.682679035,0.826309769469847
17021,332299,454069.207732417,0.731824564055935
17023,213107,320879.904302338,0.66413320729243
17025,187059,299744.517989924,0.624061454916376
17027,248692,303322.388183807,0.819893320401058
17029,184495,325293.978364209,0.567163895648366
17031,9169,604752.142879772,0.0151615833163287
17033,204211,283931.807036105,0.719225514505434
17035,131840,221403.944144555,0.595472680079815
17037,344166,404055.723810167,0.851778553597958
17039,172097,254439.054312356,0.676378083801275
17041,211069,266653.942054094,0.791546520460523
17043,209,209814.424276313,0.000996118358977836
17045,305335,398927.092894111,0.765390482217879
17047,101403,142335.780860101,0.712421004664083
17049,239219,306412.133327013,0.780709945792839
17051,270163,458523.324974173,0.589202305063144
17053,260462,310781.99875359,0.838085864189686
17055,143430,261713.008678864,0.548043067190428
