fips,name,rural_raw_value,cropland_share_of_land,gcd_funding,pgma,moratorium,dist_km,land_score,permissive_score,infra_score,siting_risk,is_lit,is_peer
48209,Hays,0.2974359825,0.0262012598757666,2,0,0,38.7696387075745,0.293539383763057,0,0.678618349290957,0.0409910356145265,FALSE,TRUE
48211,Hemphill,1,0.050291104627649,0,0,0,145.326673608366,0.974854447686175,1,0.233805259123735,0.683253299517368,FALSE,FALSE
48213,Henderson,0.6594400487,0.12273638524715,0,0,0,60.8318008536853,0.618971404767679,1,0.544265549624572,0.638902127105549,FALSE,FALSE
48215,Hidalgo,0.0890522416,0.308426734411971,0,0,0,340.215440041175,0.0753191955656231,1,0.0333014479682267,0.153951542342433,FALSE,FALSE
48217,Hill,0.775101745,0.401273356148126,0,0,1,48.4098055153108,0.619587905713791,0.5,0.616252772189685,0.422674930257321,FALSE,TRUE
48219,Hockley,0.4149138692,0.760641979814077,0,0,0,70.0574046719448,0.257113415739696,1,0.496300322430975,0.439822284175822,FALSE,FALSE
48221,Hood,0.4108412611,0.135008200484889,1,1,0,61.5283375385975,0.383107791426973,0.25,0.540487712692051,0.150256038702378,FALSE,TRUE
48223,Hopkins,0.6008644358,0.206736821981073,0,0,0,94.0813741913992,0.538754033850629,1,0.390310094413214,0.534079210656793,FALSE,FALSE
48225,Houston,0.7310341702,0.122554347687395,0,0,0,81.0841940739169,0.686238462266972,1,0.44448367972158,0.629881008374659,FALSE,FALSE
48227,Howard,0.1693918531,0.411192221891379,0,0,0,48.3546181021987,0.134565546876756,1,0.616592960014684,0.430218390571462,FALSE,FALSE
48229,Hudspeth,1,0.0227470176101523,0,0,0,217.678250767092,0.988626491194924,1,0.113405826643677,0.639073433266548,FALSE,FALSE
48231,Hunt,0.6132598343,0.277712452864732,0,0,0,45.9413928137583,0.528104887886564,1,0.63165373152667,0.631016239557541,FALSE,FALSE
48233,Hutchinson,0.3768249503,0.166692018576788,0,0,0,157.737189754507,0.345418094492198,1,0.206517133816708,0.360737487801093,FALSE,FALSE
48235,Irion,1,0.00658555532538551,0,0,0,111.07629210073,0.996707222337307,1,0.3293076295059,0.734490129149001,FALSE,FALSE
48237,Jack,1,0.111012994429293,0,0,0,98.3312704080811,0.944493502785354,1,0.374069861304117,0.727649742124333,FALSE,FALSE
